frase|palavras_reconhecidas|res_calc_sentimento|palavras_aprendidas
eu vou matar alguém|['matar']|-5.0|['eu', 'vou', 'alguém']
ele quer esquartejar minha família|['esquartejar']|-4.0|['ele', 'quer', 'minha', 'família']
houve um homicidio em minha casa|['homicidio', 'minha']|-4.5|['houve', 'um', 'em', 'casa']
a terceira guerra está chegando|['guerra']|-4.0|['a', 'terceira', 'está', 'chegando']
quero cometer suicidio|['suicidio']|-5.0|['quero', 'cometer']
infelizmente houveram feridos no acidente|['acidente']|-3.0|['infelizmente', 'houveram', 'feridos', 'no']
minha tia cometeu latrocínio|['minha', 'latrocínio']|-4.5|['tia', 'cometeu']
perdi todos os meus pertences em um assalto|['em', 'um', 'assalto']|-4.0|['perdi', 'todos', 'os', 'meus', 'pertences']
estou sentindo muita dor|['dor']|-2.0|['estou', 'sentindo', 'muita']
meu deus que tristeza horrível|['tristeza']|-2.0|['meu', 'deus', 'que', 'horrível']
hoje vou levantar peso|['vou', 'levantar']|-2.0|['hoje', 'peso']
que alegria imensa|['que', 'alegria']|0.0|['imensa']
levantei 150kg na academia|['academia']|4.0|['levantei', '150kg', 'na']
gosto muito da nossa amizade|['amizade']|3.0|['gosto', 'muito', 'da', 'nossa']
vou comer meu ovo cozido|['vou', 'comer', 'meu']|-1.6666666666666667|['ovo', 'cozido']
fui bem na lista de eldrey|['bem', 'na']|4.0|['fui', 'lista', 'de', 'eldrey']
eu amo viver|['eu', 'viver']|0.0|['amo']
estou me sentindo muito bem|['estou', 'sentindo', 'muito', 'bem']|0.75|['me']
gosto de ajudar velhinhas|['gosto', 'de', 'ajudar']|2.6666666666666665|['velhinhas']
criei uma casa de adoção para gatos de rua|['casa', 'de', 'gatos', 'de']|1.625|['criei', 'uma', 'adoção', 'para', 'rua']